"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"Sticky Fingers",2009,2,5,20,30,8,1,6.21841,14,118,1198,1,0,10,0,2,3,0,186,3,"Other","Simple"
"Wongar",2000,3,5,90,90,12,1,6.29438,29,170,323,0,0,1,0,2,1,0,151,2,"Other","Complex"
"Swords and Bagpipes",2014,2,6,20,45,11,2,6.72021,15,70,430,2,1,6,0,1,3,0,225,4,"Bluffing","Simple"
"Moto Grand Prix",2008,2,6,60,60,6,1,6.28595,25,163,613,1,0,3,1,1,3,0,146,4,"Other","Simple"
"Kigi",2014,2,5,20,20,10,1,6.34682,35,102,929,0,1,9,3,1,4,0,160,3,"Abstract Strategy","Simple"
"Mount Everest",2013,2,5,90,90,10,1,6.43088,31,106,440,3,0,9,0,1,1,0,370,3,"Other","Complex"
"Tumblin-Dice Jr.",2006,2,2,5,5,6,1,6.64481,23,86,1676,1,0,0,0,1,1,0,121,0,"Action / Dexterity","Simple"
"Breakthrough  Cambrai",2011,2,2,180,180,0,0,6.98484,16,129,318,1,0,1,2,1,1,1,289,0,"Wargame","Complex"
"Agent Decker",2015,1,1,20,90,10,2,7.00507,16,134,928,0,1,19,2,1,2,1,90,0,"Card Game","Simple"
"Adventure Time Card Wars  Finn vs. Jake",2014,2,2,30,30,10,3,6.23995,20,209,2112,4,4,5,3,2,4,0,302,0,"Card Game","Simple"
"Nobody but Us Chickens",2003,3,6,20,20,8,2,6.10042,15,235,1445,1,0,4,0,1,3,0,143,3,"Animals","Simple"
"Exceed  Red Horizon \u2013 Satoshi",2016,2,2,10,20,10,4,7.93513,5,37,193,2,0,1,1,1,1,0,71,0,"Card Game","Simple"
"Arkham Horror  Final Hour",2019,1,4,60,60,12,4,6.52116,57,71,836,101,2,13,4,1,4,0,159,3,"Adventure","Simple"
"Hattrick",1995,4,6,30,30,10,1,6.49212,18,116,595,0,0,3,0,1,2,2,274,2,"Card Game","Simple"
"The Towers of Arkhanos",2019,2,4,20,30,14,3,7.04943,30,98,817,35,1,5,0,2,2,0,256,2,"Dice","Simple"
"Struggle for the Galactic Empire",2009,1,1,240,240,14,4,6.7896,97,132,281,0,0,3,1,1,1,2,339,0,"Science Fiction","Complex"
"Klondike",1993,2,4,20,20,6,1,6.32407,68,131,796,5,0,4,2,2,1,2,68,2,"Action / Dexterity","Simple"
"SpyNet",2017,2,4,30,45,10,3,6.85819,12,79,643,8,0,4,2,1,2,0,228,2,"Bluffing","Simple"
"Ausgerechnet Uppsala",2006,2,6,20,20,10,2,6.53175,2,68,566,2,0,0,0,2,8,0,91,4,"Bluffing","Simple"
"Gettysburg  Badges of Courage",2004,2,2,180,180,12,1,7.00574,43,111,171,0,0,0,1,2,1,0,97,0,"Wargame","Complex"
"Linja",2003,2,2,15,15,8,1,6.57268,7,91,864,4,0,1,0,1,5,0,111,0,"Abstract Strategy","Simple"
"Kaosmos",2018,2,6,20,30,10,2,6.89983,21,52,619,17,3,10,0,1,2,0,89,4,"Other","Simple"
"La Bataille de L\u00fctzen",1999,1,3,240,240,12,0,7.74924,12,46,78,0,0,0,0,2,1,2,308,2,"Wargame","Complex"
"Pocket Madness",2016,2,4,30,30,8,2,6.14583,20,124,1149,6,3,11,2,2,7,0,314,2,"Card Game","Simple"
"Minerals",2019,2,5,30,45,8,2,7.76254,20,27,358,30,2,0,0,1,1,0,231,3,"Abstract Strategy","Simple"
"Magic Maze Kids",2018,2,4,15,25,5,1,6.95052,54,60,1022,39,5,2,1,1,3,0,78,2,"Childrens Game","Simple"
"Chocolatl",2010,3,5,45,45,8,1,6.40164,21,107,567,0,0,0,0,1,2,0,199,2,"Bluffing","Simple"
"Streets of Stalingrad (third edition)",2003,2,8,120,120,12,2,7.46247,74,109,55,0,0,2,0,2,1,4,174,6,"Wargame","Complex"
